Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,SkyWest,Northwest Airlines,TWA,Air Canada,IAG,Air France-KLM,Ryanair,easyJet,Deutsche Lufthansa,Finnair,Singapore Airlines,Qantas Airways,Cathay Pacific,LATAM Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Qatar Airways,Aeroflot,Turkish Airlines
Status,public,public,public,public,public,public,public,merged with Delta 2008,"bankrupt 2001, acquired by AA",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,private,"taken private 2023, war",public
Country,US,US,US,US,US,US,US,US,US,CA,EU,EU,EU,EU,EU,EU,SG,AU,HK,CL,CN,CN,CN,CN,QA,RU,TR
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,China,China,China,China,Middle East,Russia,Turkey
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,OO,NW,TW,AC,,AF/KL,FR,U2,LH,AY,SQ,QF,CX,LA,CA,MU,CZ,HU,QR,SU,TK
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014'Q3,"38,673 M","39,715 M","18,379 M","38,746 M","5,315 M","5,723 M","3,253 M",,,"11,491 M","24,768 M","29,084 M","6,299 M","7,213 M",,"2,931 M","11,504 M","14,531 M","13,490 M","12,670 M","17,010 M","15,097 M","17,637 M","5,748 M",,"6,497 M",
2014'Q4,"42,650 M","40,362 M","18,605 M","38,901 M","5,368 M","5,817 M","3,237 M",,,"11,442 M","24,488 M","28,342 M","6,083 M","7,325 M",,"2,796 M","11,308 M","14,462 M","13,667 M","12,471 M","17,317 M","15,333 M","18,060 M","5,879 M","9,272 M","5,696 M",
2015'Q1,"42,235 M","40,448 M","18,909 M","38,642 M","5,426 M","5,967 M","3,202 M",,,"11,097 M","24,588 M","27,849 M","6,423 M","7,274 M",,"2,767 M","11,299 M","13,883 M","13,551 M","11,885 M","17,227 M","15,305 M","17,828 M","5,762 M","9,373 M","5,743 M",
2015'Q2,"41,820 M","40,533 M","19,213 M","38,383 M","5,483 M","6,117 M","3,167 M",,,"10,751 M","24,687 M","27,357 M","6,762 M","7,223 M",,"2,738 M","11,290 M","13,304 M","13,436 M","11,298 M","17,136 M","15,276 M","17,597 M","5,645 M","9,473 M","5,791 M",
2015'Q3,"41,405 M","40,619 M","19,516 M","38,123 M","5,541 M","6,266 M","3,131 M",,,"10,405 M","24,786 M","26,864 M","7,102 M","7,173 M",,"2,709 M","11,280 M","12,725 M","13,320 M","10,712 M","17,045 M","15,247 M","17,365 M","5,527 M","9,573 M","5,838 M",
2015'Q4,"40,990 M","40,704 M","19,820 M","37,864 M","5,598 M","6,416 M","3,096 M",,,"10,059 M","24,886 M","26,371 M","7,441 M","7,122 M",,"2,680 M","11,271 M","12,147 M","13,205 M","10,126 M","16,954 M","15,219 M","17,134 M","5,410 M","9,674 M","5,886 M",
2016'Q1,"40,778 M","40,391 M","19,937 M","37,538 M","5,680 M","6,458 M","3,088 M",,,"10,278 M","24,611 M","27,560 M","7,358 M","6,855 M",,"2,640 M","11,113 M","12,118 M","12,894 M","9,976 M","16,858 M","15,159 M","16,990 M","5,517 M","9,908 M","6,499 M",
2016'Q2,"40,566 M","40,077 M","20,055 M","37,211 M","5,762 M","6,500 M","3,080 M",,,"10,497 M","24,337 M","28,748 M","7,274 M","6,587 M",,"2,601 M","10,954 M","12,088 M","12,583 M","9,826 M","16,761 M","15,098 M","16,847 M","5,623 M","10,143 M","7,111 M",
2016'Q3,"40,354 M","39,764 M","20,172 M","36,885 M","5,843 M","6,542 M","3,072 M",,,"10,715 M","24,062 M","29,936 M","7,191 M","6,319 M",,"2,561 M","10,796 M","12,059 M","12,272 M","9,677 M","16,665 M","15,038 M","16,703 M","5,729 M","10,378 M","7,724 M",
2016'Q4,"40,142 M","39,450 M","20,289 M","36,558 M","5,925 M","6,584 M","3,064 M",,,"10,934 M","23,788 M","31,124 M","7,107 M","6,051 M",,"2,522 M","10,637 M","12,030 M","11,962 M","9,527 M","16,568 M","14,978 M","16,559 M","5,836 M","10,613 M","8,337 M",
