,ABNB,BKNG,EXPE,TCOM,TRIP,TRVG,EDR,DESP,MMYT,Ixigo,SEERA,Almosafer,Wego,Webjet,Webjet OTA,Cleartrip Arabia,Cleartrip ME & Flyin,LMN,EaseMyTrip,Yatra,Orbitz,Travelocity,FLT,Skyscanner,Etraveli,Kiwi,Cleartrip,Traveloka,LONG,TCEL
2020'Q3,"$3,626Ê","$8,897Ê","$7,026Ê","$3,072Ê",$823Ê,$372Ê,$328Ê,$224Ê,$281Ê,$19Ê,$139Ê,$113Ê,$14Ê,$110Ê,,,,$192Ê,$21Ê,$45Ê,,,"$1,171Ê",$205Ê,$53Ê,$769Ê,$21Ê,$170Ê,,$945Ê
2020'Q4,"$3,378Ê","$6,796Ê","$5,199Ê","$2,683Ê",$604Ê,$249Ê,$216Ê,$131Ê,$191Ê,$19Ê,$82Ê,$70Ê,$8Ê,$47Ê,,,,$115Ê,$20Ê,$22Ê,,,$939Ê,$138Ê,$39Ê,$549Ê,$15Ê,$148Ê,,$908Ê
2021'Q1,"$3,423Ê","$5,649Ê","$4,236Ê","$2,642Ê",$449Ê,$147Ê,$122Ê,$107Ê,$165Ê,$19Ê,$48Ê,$56Ê,$5Ê,$36Ê,$30Ê,,,$107Ê,$19Ê,$17Ê,,,$707Ê,$142Ê,$42Ê,$606Ê,$15Ê,$144Ê,,$977Ê
2021'Q2,"$4,423Ê","$7,179Ê","$5,781Ê","$3,106Ê",$625Ê,$227Ê,$179Ê,$180Ê,$192Ê,$27Ê,$88Ê,$74Ê,$6Ê,$38Ê,$30Ê,,,$99Ê,$22Ê,$19Ê,,,$475Ê,$145Ê,$45Ê,$663Ê,$15Ê,$140Ê,,"$1,046Ê"
2021'Q3,"$5,319Ê","$9,215Ê","$7,239Ê","$3,132Ê",$777Ê,$305Ê,$251Ê,$252Ê,$236Ê,$34Ê,$129Ê,$80Ê,$8Ê,$49Ê,$30Ê,,,$128Ê,$25Ê,$21Ê,,,$536Ê,$149Ê,$49Ê,$720Ê,$15Ê,$136Ê,,"$1,114Ê"
2021'Q4,"$5,992Ê","$10,958Ê","$8,598Ê","$3,106Ê",$902Ê,$361Ê,$323Ê,$323Ê,$295Ê,$42Ê,$162Ê,$101Ê,$11Ê,$68Ê,$28Ê,,,$157Ê,$28Ê,$26Ê,,,$597Ê,$153Ê,$52Ê,$776Ê,$15Ê,$132Ê,,"$1,183Ê"
2022'Q1,"$6,614Ê","$12,512Ê","$9,601Ê","$3,127Ê","$1,041Ê",$425Ê,$421Ê,$383Ê,$304Ê,$50Ê,$188Ê,$116Ê,$13Ê,$90Ê,$27Ê,,,$213Ê,$31Ê,$27Ê,,,$659Ê,$201Ê,$68Ê,$648Ê,$14Ê,$155Ê,,"$1,123Ê"
2022'Q2,"$7,383Ê","$14,646Ê","$10,671Ê","$2,814Ê","$1,223Ê",$474Ê,$506Ê,$455Ê,$414Ê,$53Ê,$201Ê,$124Ê,$16Ê,$129Ê,$37Ê,,,$270Ê,$34Ê,$34Ê,,,$720Ê,$248Ê,$83Ê,$520Ê,$13Ê,$179Ê,,"$1,063Ê"
2022'Q3,"$8,030Ê","$16,022Ê","$11,328Ê","$2,952Ê","$1,379Ê",$519Ê,$554Ê,$517Ê,$478Ê,$56Ê,$219Ê,$141Ê,$20Ê,$168Ê,$46Ê,,,$297Ê,$39Ê,$38Ê,,,$918Ê,$295Ê,$99Ê,$392Ê,$13Ê,$203Ê,,"$1,003Ê"
2022'Q4,"$8,399Ê","$17,090Ê","$11,667Ê","$2,947Ê","$1,492Ê",$535Ê,$592Ê,$538Ê,$533Ê,$58Ê,$246Ê,$133Ê,$21Ê,$203Ê,$58Ê,,,$324Ê,$47Ê,$40Ê,,,"$1,116Ê",$343Ê,$115Ê,$264Ê,$12Ê,$227Ê,,$943Ê
2023'Q1,"$8,709Ê","$18,173Ê","$12,083Ê","$3,639Ê","$1,601Ê",$544Ê,$627Ê,$584Ê,$593Ê,$61Ê,$288Ê,$143Ê,$24Ê,$237Ê,$70Ê,,,$336Ê,$52Ê,$47Ê,,,"$1,315Ê",$366Ê,$138Ê,$277Ê,,$245Ê,,"$1,104Ê"
2023'Q2,"$9,088Ê","$19,341Ê","$12,260Ê","$4,594Ê","$1,678Ê",$524Ê,$640Ê,$615Ê,$647Ê,$66Ê,$320Ê,$161Ê,$26Ê,$259Ê,$71Ê,,,$351Ê,$55Ê,$49Ê,,,"$1,513Ê",$390Ê,$161Ê,$289Ê,,$263Ê,,"$1,287Ê"
2023'Q3,"$9,601Ê","$20,630Ê","$12,570Ê","$5,510Ê","$1,752Ê",$498Ê,$668Ê,$648Ê,$684Ê,$70Ê,$347Ê,$181Ê,$28Ê,$282Ê,$72Ê,,,$364Ê,$56Ê,$50Ê,,,"$1,592Ê",$413Ê,$184Ê,$302Ê,,$280Ê,,"$1,523Ê"
2023'Q4,"$9,917Ê","$21,365Ê","$12,839Ê","$6,236Ê","$1,788Ê",$485Ê,$687Ê,$706Ê,$728Ê,$75Ê,$377Ê,$219Ê,$31Ê,$294Ê,$73Ê,,,$353Ê,$56Ê,$53Ê,,,"$1,672Ê",$437Ê,$207Ê,$314Ê,,$298Ê,,"$1,769Ê"
2024'Q1,"$10,241Ê","$22,002Ê","$13,063Ê","$6,546Ê","$1,812Ê",$475Ê,$707Ê,$721Ê,$783Ê,$80Ê,$416Ê,$228Ê,$33Ê,$306Ê,$75Ê,,,$342Ê,$59Ê,$51Ê,,,"$1,751Ê",,,,,,,"$1,979Ê"
2024'Q2,"$10,505Ê","$22,399Ê","$13,263Ê","$6,751Ê","$1,815Ê",$470Ê,$710Ê,$741Ê,$840Ê,$81Ê,$440Ê,$265Ê,$38Ê,,$77Ê,,,$336Ê,$59Ê,$50Ê,,,"$1,831Ê",,,,,,,"$2,168Ê"
2024'Q3,"$10,840Ê","$23,052Ê","$13,394Ê","$7,131Ê","$1,814Ê",$458Ê,$708Ê,$756Ê,$883Ê,$86Ê,$463Ê,$266Ê,$44Ê,,$79Ê,,,$342Ê,$58Ê,$67Ê,,,,,,,,,,"$2,395Ê"
2024'Q4,"$11,102Ê","$23,739Ê","$13,691Ê","$7,424Ê","$1,835Ê",$461Ê,$724Ê,,$936Ê,$95Ê,$471Ê,$253Ê,$50Ê,,,,,$345Ê,$55Ê,$81Ê,,,,,,,,,,"$2,510Ê"
